Source,Target,Weight,Label (currently just name of target doc)
dhq-000005,dhq-000027,5.078981324,dhq-000027
dhq-000005,dhq-000028,6.543471004,dhq-000028
dhq-000005,dhq-000029,6.521831537,dhq-000029
dhq-000005,dhq-000030,6.131196083,dhq-000030
dhq-000005,dhq-000031,6.779998704,dhq-000031
dhq-000005,dhq-000032,9.811690465,dhq-000032
dhq-000005,dhq-000033,5.083149293,dhq-000033
dhq-000005,dhq-000034,6.983308789,dhq-000034
dhq-000005,dhq-000035,6.785112318,dhq-000035
dhq-000005,dhq-000036,5.027603109,dhq-000036
dhq-000005,dhq-000037,4.904517181,dhq-000037
dhq-000005,dhq-000038,6.193077295,dhq-000038
dhq-000005,dhq-000039,6.371896685,dhq-000039
dhq-000005,dhq-000040,5.942099285,dhq-000040
dhq-000005,dhq-000041,5.184394555,dhq-000041
dhq-000005,dhq-000042,4.959757998,dhq-000042
dhq-000005,dhq-000043,7.072375554,dhq-000043
dhq-000005,dhq-000044,4.243885219,dhq-000044
dhq-000005,dhq-000045,4.774620998,dhq-000045
dhq-000005,dhq-000046,5.581055296,dhq-000046
dhq-000005,dhq-000047,5.927387049,dhq-000047
dhq-000005,dhq-000048,4.634259197,dhq-000048
dhq-000005,dhq-000049,5.9503365,dhq-000049
dhq-000005,dhq-000050,5.092024858,dhq-000050
dhq-000005,dhq-000051,6.069328653,dhq-000051
dhq-000005,dhq-000052,6.095678111,dhq-000052
dhq-000005,dhq-000053,5.163940335,dhq-000053
dhq-000005,dhq-000054,5.8075969,dhq-000054
dhq-000005,dhq-000055,4.608152439,dhq-000055
dhq-000005,dhq-000056,4.815681379,dhq-000056
dhq-000005,dhq-000057,5.462714957,dhq-000057
dhq-000005,dhq-000058,5.028203806,dhq-000058
dhq-000005,dhq-000059,4.847887273,dhq-000059
dhq-000005,dhq-000060,4.149150171,dhq-000060
dhq-000005,dhq-000061,3.667620236,dhq-000061
dhq-000005,dhq-000062,6.011098015,dhq-000062
dhq-000005,dhq-000063,6.09593356,dhq-000063
dhq-000005,dhq-000064,7.538208465,dhq-000064
dhq-000005,dhq-000065,5.365150091,dhq-000065
dhq-000005,dhq-000066,6.771580262,dhq-000066
dhq-000005,dhq-000067,6.222895793,dhq-000067
dhq-000005,dhq-000068,7.751692955,dhq-000068
dhq-000005,dhq-000069,4.922187577,dhq-000069
dhq-000005,dhq-000070,7.809093229,dhq-000070
dhq-000005,dhq-000071,6.90230921,dhq-000071
dhq-000005,dhq-000072,6.452102875,dhq-000072
dhq-000005,dhq-000073,5.967903299,dhq-000073
dhq-000005,dhq-000074,5.45440227,dhq-000074
dhq-000005,dhq-000075,5.047796551,dhq-000075
dhq-000005,dhq-000076,7.012432487,dhq-000076
dhq-000005,dhq-000077,6.425666295,dhq-000077
dhq-000005,dhq-000078,6.239469679,dhq-000078
dhq-000005,dhq-000079,6.426143076,dhq-000079
dhq-000005,dhq-000080,5.876141141,dhq-000080
dhq-000005,dhq-000081,6.699620888,dhq-000081
dhq-000005,dhq-000082,0.936198837,dhq-000082
dhq-000005,dhq-000083,6.727034787,dhq-000083
dhq-000005,dhq-000084,5.740861859,dhq-000084
dhq-000005,dhq-000085,4.09735278,dhq-000085
dhq-000005,dhq-000086,6.787812071,dhq-000086
dhq-000005,dhq-000087,5.450951955,dhq-000087
dhq-000005,dhq-000088,6.393082293,dhq-000088
dhq-000005,dhq-000089,6.403283578,dhq-000089
